,Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,0,0,vegan butter,615.3,68.371,12.785,43.757,18.665,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,6.032,0.085,0.187,0.0,0.006,0.002,0.001,0.001,0.0,0.0,0.02,0.0
1,1,1,black seed oil,789.9,87.77,11.322,40.462,44.412,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,13.908,0.008,0.062,0.001,0.0,0.0,0.001,0.01,0.002,0.0,0.001,0.0
2,2,2,krill oil,615.9,68.43,7.322,44.069,27.714,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.279,0.011,0.059,0.003,0.0,0.007,0.034,0.0,0.002,0.0,0.001,0.0
3,3,3,muscat grape oil,625.6,69.516,2.781,28.432,15.989,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,7.257,0.038,0.067,0.001,0.007,0.0,0.005,0.002,0.003,0.0,0.01,0.0
4,4,4,butter unsalted,847.1,94.121,3.765,46.308,41.884,0.0,0.0,0.0,0.0,0.0,0.0,0.212,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,7.107,0.073,0.031,0.0,0.02,0.001,0.003,0.001,0.003,0.002,0.001,0.0
5,5,5,flaxseed oil cold pressed,900.0,100.0,4.0,73.9,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.659,0.037,0.463,0.001,0.0,0.0,0.0,0.002,0.135,0.002,0.006,0.0
6,6,6,sesame oil toasted,900.0,100.0,12.7,50.4,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.427,0.029,0.03,0.002,0.003,0.0,0.001,0.0,0.004,0.004,0.001,0.0
7,7,7,hemp seed oil cold pressed,832.1,92.456,10.632,38.277,61.391,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.069,0.011,0.058,0.001,0.0,0.0,0.002,0.001,0.0,0.011,0.007,0.0
8,8,8,hemp oil organic,613.4,68.161,6.407,21.062,22.834,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.095,0.842,0.023,0.01,0.0,0.014,0.0,0.0,0.005,0.0,0.0,0.0
9,9,9,argan oil culinary,778.3,86.481,14.183,21.101,41.857,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2.009,0.004,0.08,0.003,0.0,0.001,0.112,0.002,0.001,0.005,0.002,0.0
