,Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,0,0,pomegranate juice spiced,47.1,0.137,0.018,0.005,0.004,10.569,7.8,0.889,2.385,0.0,0.004,84.347,0.02,0.067,0.012,0.0,0.018,0.227,0.03,0.102,2.108,0.0,0.308,0.002,28.983,0.11,0.646,4.316,0.017,23.508,217.19,0.001,0.127,326.001
1,1,1,passion fruit raw,34.8,0.317,0.022,0.024,0.061,6.956,5.05,1.041,2.563,0.0,0.001,89.865,0.019,0.143,0.054,0.0,0.023,0.356,0.204,0.135,63.716,0.0,1.007,0.006,11.938,0.047,0.056,35.966,0.064,15.867,170.708,0.001,0.167,4208.133
2,2,2,watermelon raw,106.4,0.028,0.004,0.002,0.003,22.689,16.608,3.844,2.946,0.0,0.004,78.332,0.003,0.131,0.022,0.0,0.039,0.195,0.089,0.09,43.298,0.0,1.036,0.003,4.05,0.092,0.18,12.3,0.061,13.891,339.943,0.001,0.044,824.211
3,3,3,aronia berry,49.0,0.476,0.017,0.0,0.047,10.015,6.88,1.165,1.066,0.0,0.001,76.325,0.023,0.008,0.006,0.0,0.021,0.502,0.654,0.186,28.527,0.0,0.571,0.002,8.943,0.173,0.751,5.142,0.047,11.972,188.511,0.001,0.081,1281.744
4,4,4,blood orange,52.9,0.179,0.018,0.01,0.026,12.456,8.271,0.358,1.529,0.0,0.003,85.482,0.002,0.022,0.047,0.0,0.045,0.6,0.224,0.08,104.653,0.0,0.076,0.004,20.751,0.028,0.156,23.423,0.03,20.125,99.629,0.001,0.029,3561.287
5,5,5,coconut flakes unsweetened,63.5,0.779,0.048,0.017,0.055,13.625,9.728,0.49,3.345,0.0,0.008,87.242,0.042,0.03,0.004,0.0,0.065,0.05,0.209,0.372,118.445,0.0,0.848,0.013,36.261,0.123,0.621,5.412,0.059,15.068,274.081,0.001,0.067,3802.187
6,6,6,blackberry raw,33.5,0.323,0.036,0.004,0.049,7.368,4.634,0.27,1.015,0.0,0.001,77.934,0.075,0.054,0.008,0.0,0.064,0.584,0.67,0.11,131.656,0.0,0.803,0.001,11.303,0.024,0.375,4.862,0.071,20.4,57.405,0.0,0.048,7764.903
7,7,7,pomegranate seeds arils,78.8,0.103,0.014,0.015,0.016,18.266,12.384,1.201,1.574,0.0,0.005,79.522,0.002,0.031,0.28,0.0,0.025,0.266,0.144,0.15,9.169,0.0,0.895,0.017,18.901,0.039,0.599,12.247,0.078,68.23,148.751,0.004,0.096,0.0
8,8,8,guava paste,74.2,0.246,0.032,0.006,0.017,17.552,10.198,0.457,1.359,0.0,0.006,89.001,0.062,0.02,0.003,0.0,0.043,0.261,0.066,0.194,46.425,0.0,1.059,0.001,11.188,0.065,0.382,37.84,0.014,20.205,87.437,0.002,0.132,856.618
9,9,9,strawberry frozen,192.8,0.165,0.011,0.022,0.027,46.646,36.477,1.182,1.455,0.0,0.007,91.916,0.01,0.075,0.043,0.0,0.029,0.08,0.106,0.112,17.99,0.0,0.97,0.007,52.014,0.093,0.036,15.268,0.027,21.753,160.322,0.001,0.091,0.0
10,10,10,guava paste raw,56.9,0.172,0.0,0.011,0.016,12.746,9.407,1.098,3.275,0.0,0.003,96.0,0.115,0.073,0.092,0.0,0.027,0.481,0.068,0.125,80.767,0.0,1.159,0.003,7.091,0.081,0.183,2.52,0.023,33.827,287.294,0.001,0.022,2920.69
11,11,11,pear bartlett raw,33.0,0.484,0.047,0.018,0.102,6.691,5.259,0.46,1.437,0.0,0.005,76.518,0.006,0.009,0.011,0.0,0.083,0.119,0.203,0.16,31.12,0.0,0.202,0.001,11.459,0.016,0.206,13.659,0.036,10.125,212.165,0.0,0.052,1816.688
12,12,12,boysenberry,78.4,0.039,0.005,0.0,0.007,16.298,11.246,3.217,1.182,0.0,0.007,83.677,0.034,0.008,0.004,0.0,0.027,0.168,0.045,0.129,17.256,0.0,0.744,0.003,5.805,0.137,0.253,6.346,0.166,26.318,85.16,0.001,0.038,486.944
13,13,13,plantain ripe,68.0,0.657,0.07,0.039,0.114,14.629,8.514,0.898,0.53,0.0,0.004,90.677,0.02,0.017,0.009,0.0,0.058,0.186,0.449,0.115,15.986,0.0,0.434,0.004,4.773,0.008,0.489,35.75,0.024,10.934,234.13,0.002,0.087,164.968
14,14,14,ugli fruit,47.7,0.173,0.024,0.014,0.017,11.042,6.614,0.497,2.089,0.0,0.003,88.853,0.013,0.008,0.017,0.0,0.015,0.119,0.09,0.271,133.419,0.0,0.306,0.011,11.008,0.135,0.372,34.657,0.102,33.559,115.788,0.001,0.042,5624.793
15,15,15,gooseberry raw,40.3,0.683,0.067,0.016,0.133,7.456,5.532,1.084,1.959,0.0,0.004,82.402,0.038,0.062,0.03,0.0,0.105,0.19,0.138,0.031,10.764,0.0,0.159,0.001,87.514,0.059,0.124,25.421,0.034,21.26,137.335,0.004,0.279,946.231
16,16,16,longan raw,65.3,0.076,0.013,0.007,0.011,15.525,11.877,0.631,2.106,0.0,0.013,87.111,0.164,0.07,0.025,0.0,0.104,0.243,0.045,0.135,15.745,0.0,0.206,0.003,5.089,0.035,0.12,10.877,0.085,39.181,206.976,0.001,0.075,0.0
17,17,17,cherry sour raw,54.2,0.982,0.061,0.08,0.273,10.19,7.775,1.141,3.067,0.0,0.003,80.463,0.088,0.032,0.033,0.0,0.033,0.147,0.062,0.166,41.222,0.0,0.107,0.018,33.872,0.044,0.516,7.871,0.054,41.471,239.341,0.003,0.134,1907.671
