,Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,0,0,whole wheat tortilla,310.4,0.594,0.149,0.151,0.358,65.292,1.434,10.968,3.814,0.0,0.007,16.59,0.001,0.099,0.018,0.0,0.043,3.922,0.258,0.142,0.2,0.0,0.638,0.002,43.711,0.258,1.646,253.016,0.545,87.751,255.524,0.037,0.413,799.861
1,1,1,animal crackers,177.6,0.656,0.159,0.075,0.215,34.346,4.468,8.587,1.639,0.0,0.004,13.103,0.001,0.082,0.005,0.0,0.039,1.516,0.27,0.039,0.0,0.0,0.683,0.002,37.15,0.112,0.977,21.523,0.793,195.126,225.522,0.031,1.84,852.995
2,2,2,shredded wheat cereal,221.1,0.573,0.129,0.156,0.252,41.305,7.252,12.671,6.438,0.0,0.006,2.201,0.004,0.192,0.027,0.0,0.16,1.375,0.347,0.273,0.132,0.0,1.402,0.002,67.133,0.155,2.939,39.456,1.548,76.046,202.038,0.021,1.175,1356.231
3,3,3,quinoa cooked,331.5,4.47,1.019,1.462,1.068,57.131,1.321,15.686,1.455,0.0,0.012,14.014,0.001,0.374,0.078,0.0,0.188,4.349,0.96,0.245,0.0,0.0,1.256,0.002,23.938,0.23,2.759,54.996,2.341,144.355,279.023,0.022,2.708,933.493
4,4,4,granola with nuts,181.1,0.83,0.235,0.166,0.201,36.874,23.755,6.534,2.941,0.0,0.002,14.809,0.001,0.429,0.034,0.0,0.09,2.217,0.31,0.179,0.095,0.0,0.337,0.001,58.172,0.182,2.324,30.786,2.299,244.468,133.625,0.02,1.36,258.143
5,5,5,millet flour,268.5,0.951,0.27,0.322,0.458,58.243,0.594,6.754,1.874,0.0,0.014,17.265,0.001,0.345,0.037,0.0,0.027,2.544,0.258,0.087,0.173,0.0,0.611,0.006,7.564,0.183,1.195,91.044,0.325,148.429,235.231,0.031,2.564,557.464
6,6,6,popcorn cheese,296.7,2.435,0.334,0.329,1.074,57.483,10.993,11.203,7.732,0.0,0.023,9.397,0.0,0.138,0.002,0.0,0.109,2.792,1.69,0.055,0.0,0.0,0.988,0.003,56.197,0.309,0.433,70.265,0.474,118.421,144.843,0.017,0.822,729.888
7,7,7,quinoa cooked canned,258.7,2.093,0.942,0.429,0.586,50.863,6.465,9.112,3.081,0.0,0.011,2.588,0.0,0.314,0.036,0.0,0.024,0.907,0.324,0.131,0.0,0.0,0.227,0.004,81.241,0.318,10.877,55.888,1.036,333.911,207.683,0.026,1.698,1393.418
8,8,8,amaranth cooked,267.4,1.421,0.253,0.49,0.594,52.843,1.995,10.814,1.911,0.0,0.026,4.908,0.003,0.123,0.021,0.0,0.156,3.011,0.36,0.208,0.0,0.0,0.176,0.005,43.097,0.218,1.833,29.045,0.541,255.962,247.106,0.058,2.572,830.478
9,9,9,graham crackers,313.1,2.956,0.464,0.984,1.324,65.609,5.662,6.024,3.371,0.0,0.007,16.892,0.001,0.185,0.011,0.0,0.121,0.864,0.379,0.081,0.389,0.0,0.204,0.0,41.126,0.121,2.099,32.068,2.372,174.326,175.277,0.028,1.505,463.75
