,Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,0,0,herbal chamomile tea,82.3,6.121,3.048,2.32,0.0,5.345,5.345,1.446,0.058,8.149,0.047,81.812,0.009,0.023,0.001,0.022,0.01,0.233,0.329,0.016,0.624,0.04,0.074,0.002,6.143,0.017,0.364,12.852,0.085,13.922,78.561,0.001,0.395,0.0
1,1,1,wine red merlot,35.5,0.54,0.269,0.162,0.087,6.339,4.989,1.32,0.019,0.687,0.039,99.211,0.004,0.005,0.003,0.016,0.082,0.391,0.031,0.016,1.235,0.015,0.106,0.001,29.509,0.031,0.04,5.167,0.111,14.84,45.105,0.002,0.093,0.0
2,2,2,lime juice fresh,17.2,0.756,0.308,0.243,0.082,1.815,1.329,0.773,0.051,6.551,0.008,84.797,0.021,0.013,0.002,0.103,0.034,0.2,0.026,0.014,1.648,0.011,0.127,0.002,27.026,0.01,0.122,30.676,0.033,17.767,36.536,0.0,0.053,606.981
3,3,3,frappuccino mocha,70.0,0.069,0.019,0.014,0.008,17.058,16.256,0.296,0.088,4.74,0.011,81.574,0.004,0.007,0.002,0.493,0.03,0.038,0.095,0.031,0.739,0.003,0.027,0.004,18.041,0.032,0.236,5.814,0.062,18.557,85.253,0.001,0.055,0.0
4,4,4,wine white riesling,84.0,0.512,0.286,0.163,0.135,19.513,15.513,0.326,0.092,23.939,0.017,93.183,0.009,0.041,0.001,0.024,0.032,0.037,0.06,0.006,0.575,0.132,0.012,0.001,7.912,0.017,0.173,8.836,0.025,13.065,71.14,0.004,0.023,0.0
5,5,5,hot apple cider,203.7,0.195,0.07,0.046,0.0,50.0,31.75,0.493,0.094,11.848,0.005,92.636,0.02,0.019,0.004,0.029,0.014,0.036,0.225,0.015,1.105,0.043,0.036,0.012,7.971,0.01,0.261,5.229,0.03,42.449,154.718,0.0,0.316,0.0
6,6,6,ensure original,37.7,2.63,1.825,0.931,0.584,3.308,1.846,0.202,0.011,0.474,0.009,100.0,0.001,0.023,0.006,0.009,0.056,0.275,0.009,0.005,1.697,0.045,0.316,0.0,6.481,0.044,0.647,8.179,0.174,12.412,26.507,0.002,0.089,0.0
7,7,7,apple juice unsweetened,41.1,0.367,0.264,0.09,0.073,8.728,7.698,0.719,0.047,5.101,0.017,90.032,0.0,0.019,0.005,0.282,0.026,0.083,0.056,0.038,1.225,0.005,0.122,0.001,13.159,0.021,0.184,3.577,0.074,15.179,55.731,0.001,0.014,0.0
8,8,8,pomegranate juice,12.7,0.301,0.206,0.066,0.026,2.16,2.16,0.333,0.185,3.57,0.019,85.286,0.002,0.042,0.005,0.138,0.056,0.039,0.029,0.009,0.859,0.026,0.16,0.001,10.099,0.036,0.035,2.531,0.056,25.946,309.673,0.001,0.022,0.0
9,9,9,caramel macchiato,38.6,2.052,0.759,0.441,0.341,4.794,4.367,0.23,0.015,0.536,0.021,93.137,0.035,0.021,0.002,0.088,0.112,0.099,0.01,0.103,1.269,0.01,0.077,0.001,5.422,0.017,0.114,15.843,0.012,26.323,126.975,0.002,0.028,0.0
10,10,10,brandy cognac,23.2,0.06,0.037,0.014,0.005,5.585,3.357,0.073,0.208,5.995,0.025,94.178,0.002,0.023,0.0,0.012,0.02,0.139,0.205,0.071,1.567,0.009,0.085,0.002,16.508,0.018,0.119,6.458,0.034,48.061,86.372,0.004,0.03,0.0
11,11,11,cider dry hard,8.5,0.57,0.343,0.123,0.152,0.541,0.385,0.291,0.058,1.386,0.04,94.969,0.003,0.06,0.002,0.063,0.046,0.14,0.014,0.11,0.7,0.009,0.081,0.001,62.434,0.004,0.067,4.303,0.035,34.655,65.852,0.002,0.094,945.026
12,12,12,matcha powder,53.4,0.823,0.164,0.093,0.225,10.992,8.354,0.51,0.242,1.261,0.002,86.209,0.001,0.021,0.002,0.03,0.01,0.188,0.148,0.012,0.427,0.004,0.6,0.012,32.484,0.04,0.473,4.217,0.152,18.925,105.002,0.002,0.067,0.0
13,13,13,beer light lager,63.8,0.353,0.174,0.077,0.084,14.931,10.556,0.231,0.013,0.452,0.035,71.841,0.01,0.047,0.005,0.163,0.059,0.341,0.073,0.029,0.529,0.01,0.206,0.007,20.089,0.019,0.047,12.652,0.054,5.305,109.973,0.001,0.014,0.0
14,14,14,sparkling water plain,53.8,1.427,0.955,0.431,0.05,8.838,6.036,1.401,0.051,1.75,0.015,80.996,0.002,0.015,0.005,0.167,0.015,0.07,0.042,0.013,0.628,0.003,0.062,0.006,11.897,0.012,0.089,2.112,0.039,15.712,103.449,0.002,1.009,0.0
15,15,15,coconut water natural,14.8,0.38,0.192,0.075,0.0,1.854,1.235,0.986,0.217,1.936,0.013,75.779,0.003,0.057,0.0,0.074,0.035,0.121,0.036,0.034,1.281,0.01,0.104,0.002,6.64,0.03,0.073,19.741,0.12,5.156,67.581,0.002,0.058,945.081
16,16,16,wine rose,20.6,0.619,0.425,0.097,0.072,3.525,2.534,0.231,0.371,0.528,0.005,98.863,0.001,0.026,0.001,0.028,0.035,0.064,0.026,0.026,50.0,0.002,0.021,0.016,20.275,0.012,0.159,22.276,0.062,17.928,45.122,0.001,0.052,4579.903
17,17,17,flat white,170.9,0.218,0.141,0.065,0.026,40.631,37.137,1.608,0.085,4.372,0.007,71.618,0.003,0.014,0.002,0.212,0.011,0.328,0.006,0.004,12.062,0.07,0.116,0.0,111.763,0.031,0.304,6.052,0.063,6.779,30.855,0.001,0.044,0.0
18,18,18,wine champagne,26.9,1.293,0.555,0.009,0.296,3.711,3.028,0.113,0.105,1.209,0.05,85.049,0.001,0.007,0.01,0.005,0.018,0.479,0.032,0.018,1.547,0.018,0.119,0.001,26.97,0.008,0.023,2.968,0.053,33.221,37.802,0.0,0.085,0.0
19,19,19,rum dark,37.0,0.223,0.138,0.078,0.036,6.977,3.712,1.77,0.053,0.781,0.037,91.016,0.008,0.01,0.002,0.075,0.024,0.042,0.013,0.115,20.439,0.01,0.081,0.002,18.188,0.025,0.152,50.214,0.071,106.183,106.631,0.001,0.041,1377.109
20,20,20,wine red cabernet,57.0,1.451,0.747,0.218,0.099,10.263,7.872,0.73,0.125,17.695,0.018,82.751,0.009,0.002,0.002,0.021,0.021,0.065,0.038,0.023,1.338,0.007,0.02,0.0,16.809,0.006,0.482,7.844,0.023,13.404,34.411,0.002,0.033,0.0
